wp  , wf   , P   , n1 , Pnd, Np1, Helix, Np2, Pnd2, Helix2, sigma_bend_stage1 , percent_diff_bend_stage1, sigma_contact_stage1, percent_diff_contact_stage1, sigma_bend_stage2 , percent_diff_bend_stage2, sigma_contact_stage2, percent_diff_contact_stage2, combined_metric
1970, 264.2,  8.2, 2.8,  10,  16,    25,  40,   10,     25, 14.632111323534344,        86.29161955080806,   129.2072683310446 ,          0.0268769721653184, 32.61334996604833 ,      12.17200258306933  ,   126.64637634463776,          2.028715561402725 , 100.51921466744542
1980, 265.0,  8.2, 2.8,  10,  16,    25,  40,   10,     25, 14.563402573904192,        86.67429119164262,   128.91275187420035,          0.2550781059882104, 32.6096509443038  ,      12.183303222457324 ,   126.55551737999905,          2.100475913540681 , 101.21314843362885
1990, 265.8,  8.3, 2.8,  10,  16,    25,  40,   10,     25, 14.495367307180658,        87.05422122639402,   128.6204170463184 ,          0.4821043413782399, 32.60595276155375 ,      12.194602502125012 ,   126.46552026400882,          2.1716058511885445, 101.90253392108582
2010, 267.5,  8.4, 2.7,  10,  16,    25,  40,   10,     25, 14.389504977312562,        87.64739601343364,   128.77308101881843,          0.3634818393792716, 32.57106680641219 ,      12.301250904609528 ,   125.65583767639356,          2.8138036448620176, 103.12593240228446
2020, 268.3,  8.4, 2.7,  10,  16,    25,  40,   10,     25, 14.323301308810718,        88.0196003220426 ,   128.48549846801387,          0.5870553483682732, 32.56724073969827 ,      12.312953937749054 ,   125.57113989095583,          2.881217279937009 , 103.80082688809694
2030, 269.2,  8.5, 2.6,  10,  16,    25,  40,   10,     25, 14.28581276049782 ,        88.23079253124334,   128.97999194044507,          0.2029324129877703, 32.533580705365786,      12.415967654815384 ,   124.85804573350156,          3.4505733785630897, 104.30026597760956
2040, 270.0,  8.5, 2.6,  10,  16,    25,  40,   10,     25, 14.220744073413734,        88.59809405410779,   128.6948358168902 ,          0.4242621503647758, 32.52961663990981 ,      12.428105925127122 ,   124.77767341437963,          3.5149455360000657, 104.96540766559976
2050, 270.8,  8.5, 2.6,  10,  16,    25,  40,   10,     25, 14.156294386669854,        88.96282540490421,   128.4117299077585 ,          0.6444852108593333, 32.52565354034201 ,      12.440242624643409 ,   124.6980444488616 ,          3.5787625075047527, 105.62631574791168
2060, 271.7,  8.6, 2.5,  10,  16,    25,  40,   10,     25, 14.120263151830429,        89.16713412478646,   128.9633551414429 ,          0.2158319748283   , 32.48908013284304 ,      12.55231146973915  ,   123.99568102010468,          4.143395215721323 , 106.07867278507524
2070, 272.5,  8.6, 2.5,  10,  16,    25,  40,   10,     25, 14.056900188859888,        89.52712418993463,   128.6824623860887 ,          0.4338771194751689, 32.48496879453127 ,      12.56491689452288  ,   123.92021347202991,          4.204250274939267 , 106.73016847887196
